Unnamed: 0,Rkey,ZBNr,Name,Rasse,Wurfdatum,Geschlecht,HD_Grad,ED_rechts,ED_links,AnzNachkommen,ZW_HD,ZW_ED,ZW_HC,WT,WT_Status,JagdlPruef,NJagdlPruef,SonstPruef,AlleTitel,AugenFrei,AugenFreiOld,geburt_raw,geburt,geburtsjahr,vater_name,vater_zbnr,vater_rkey,mutter_name,mutter_zbnr,mutter_rkey,pedigree_status,pedigree_error,father_found,mother_found,ZBNr_norm,vater_zbnr_norm,mutter_zbnr_norm,ED_geroentgt,ED_ZWS
1,171519,2227180,A Black Pearl Eddy vom Haaßler Hof,Labrador-Retriever,7/2/2022,R,A1,"frei,frei",frei,0,,,,WT,b,,"WT,APD A",,,,,2022-7-2,2022-07-02,2022.0,"Speed'n Style Bond, James Bond",1217666,102506.0,Gelbfüßler Fabulous Amy,1822389,145808.0,ok,,,,2227180,1217666,1822389,True,0.0
2,150754,1923546,A boy named Nuri of Hunting Ila,Labrador-Retriever,4/2/2019,R,A1,"frei,frei",frei,0,,,,WT,b,,WT,,,,,2019-4-2,2019-04-02,2019.0,Polarwind vom Suderholz,LCD 14/V 0546,117548.0,Jill's Lady In Red Of Sir Geof,1823072,147910.0,ok,,,,1923546,LCD 14/V 0546,1823072,True,0.0
3,138695,LCD 15/W 1202,A Bubbling Soul of Magical Passion,Labrador-Retriever,7/19/2015,H,,-,,0,,,,,-,,,,,,,2015-7-19,2015-07-19,2015.0,Faithful Paw's Brave Heart,LCD 11/S 0167,89820.0,,,,partial,mother: Keine Daten vorhanden,True,False,LCD 15/W 1202,LCD 11/S 0167,,True,
4,22527,511266,A Bugler vom Schwanenteich,Labrador-Retriever,2/1/2005,R,A2,"frei,frei",frei,0,,,,WT,b,JP/R,WT,,,,,2005-2-1,2005-02-01,2005.0,Melicmark Louis T Duck,DKK 06068/2001,34155.0,Dunja vom kleinen Raschütz,02-9470,33784.0,ok,,,,511266,DKK 06068/2001,02-9470,True,0.0
5,76877,914862,A Clash vom Heiligen Meer,Labrador-Retriever,9/11/2009,R,B2,"frei,frei",frei,0,,,,,-,,APD O,NCT'11 GC'15'16 div.Workingtests(O),,,,2009-9-11,2009-09-11,2009.0,Wendearose Dime,KCSB 4431CP,105327.0,Guste vom Keien Fenn,511714,22945.0,ok,,,,914862,KCSB 4431CP,511714,True,0.0
6,144668,LOF 170315,A Danish Jo-Jo Du Haras Del Viento,Labrador-Retriever,,R,A,"frei,frei",frei,2,,,,,-,,,,,f,f,,,,Rhino Du Haras Del Viento,LOF 125590/16767,144667.0,Pila Du Haras Del Viento,LOF 115234/19534,144666.0,ok,,,,LOF 170315,LOF 125590/16767,LOF 115234/19534,True,0.0
7,22309,411026,A Dashwood Espe of Sinders Stream Valley,Labrador-Retriever,9/6/2004,H,B1,"frei,frei",frei,27,,,,WT(LCD),b,BLP(LCD),"WT(LCD),APD F(LCD)",,,f,f,2004-9-6,2004-09-06,2004.0,Gordon vom Speerblick,99-7966,34506.0,Crandale Anemone,99-7855,34866.0,ok,,,,411026,99-7966,99-7855,True,0.0
8,143757,LCD 09/Q 1392,A Dream For You Aribian Night,Labrador-Retriever,9/8/2009,H,,-,,0,,,,,-,,,,,,,2009-9-8,2009-09-08,2009.0,Swentina's Mr. Nice Guy,CKC TC137068,68742.0,,,,partial,mother: Keine Daten vorhanden,True,False,LCD 09/Q 1392,CKC TC137068,,True,
9,100645,LCD 11/S 1689,A dream for you Banana Boat,Labrador-Retriever,10/21/2011,H,,-,,0,,,,,-,,,,,,,2011-10-21,2011-10-21,2011.0,Swentina's Mr. Nice Guy,CKC TC137068,68742.0,,,,partial,mother: Keine Daten vorhanden,True,False,LCD 11/S 1689,CKC TC137068,,True,
10,121918,LCD 13/U 1200,A Dream for you Caesars Man Emperor,Labrador-Retriever,8/2/2013,R,,-,,0,,,,,-,,,,,,,2013-8-2,2013-08-02,2013.0,Lab'spb Russian Standard,NHSB 2872555,103398.0,Joyfull Pride of Sheppard's Garden,LCD 10/R 1189,179983.0,ok,,,,LCD 13/U 1200,NHSB 2872555,LCD 10/R 1189,True,
