Hundename,Original_Hundename,Score,EpiProgeny
Tasco Brimstone,NORD JCH FTCH Tasco Brimstone,"8,8125","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, Glengad Dobby, Hh's On Duty Cronos, Huntrets Gott Mos, Huntrets Scilla, Kingsdale Meadow Dark, Labstratego Yellow River, Meadowlark Black Kite, Muschelsucher Clooney, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Sea-Croft Nimble, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, Tealshead Bracken, S?KH I VATTUMANNEN HUMLE, Vauhti-Noudon Vauhtineito, Zetastar Zesty Boy"
Aughacasla Sam of Drakeshead,UK FTCh Aughacasla Sam of Drakeshead,"8,125","Brufinn Keep Retrieving Doc, Caper Cailie's Ohio, Carson vom Stecknitztal, Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, Cliff vom Zwillbrocker Venn, Cosmic Cover's Mill's Jaywalker, Deep Impact As Nike, Dimh�jdens Jack Af Barney, Flying Flap Ears Ice Age, Frankie's Rolle, Hardrocks Blue Danube, Hillraisins Black Bertha, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Hypnos Spectre, IVANTHES FIRST PLOPP, Kingsdale Meadow Dark, Limmerhultarna's Solstorm, Lochmuir Casey, Mandylike's Porsche, Meadowlark Black Kite, Meadowlark Marigold, Meadowlark Mr Badger, Middle River's Forest Harmony, Moorman's Lennie Mirak, Muschelsucher Clooney, Never change Gasper, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Polarfischer Greg, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Quickrunners Alan, Quickrunners August, Reedsweeper's Desna, Saku (FIN46719/07), Sea-Croft Nimble, Searover Cosys Karo, Searover Easy Sjakk, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, Snowy Roxy vom Windbrunnen, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Tealshead Bracken, Thorsvi Harris, S?KH I VATTUMANNEN HUMLE, Vauhti-Noudon Vauhtineito, Viltv�rdarns Unika Enya, Waterfowler Ace, Wijmas Lilla My, Wijmas Mymlan, Winning Line's License to Kill"
Pocklea Remus,FTCh Pocklea Remus,"7,8125","Batmoors' Apollo Lurgan, Brufinn Keep Retrieving Doc, Caper Cailie's Ohio, Charway Rainstorm, Chilihunters Game Glen, Chilihunters Pro Hazy, Cliff vom Zwillbrocker Venn, Cosmic Cover's Mill's Jaywalker, COSMIC COVER'S WIN CALL TO FIND OUT, Deep Impact As Nike, Dimh�jdens Jack Af Barney, Dual's Hope Nicam, Eagle Owl's Osiris, Frankie's Rolle, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Gr�fin von Westerholts Kastalia, Hardrocks Blue Danube, Hillraisins Black Bertha, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Hypnos Spectre, IVANTHES FIRST PLOPP, Kosta Kl�vers Bran, Labstratego Yellow River, Limmerhultarna's Solstorm, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Lochmuir Casey, Mandylike's Porsche, Mandylike's Twinkle, Meadowlark Black Kite, Meadowlark Marigold, Meadowlark Mr Badger, Moorman's Lennie Mirak, Muschelsucher Clooney, Namusillan Tammikehr��j�, Nanni-Nadalina von der Bleiburg, Never change Gasper, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Pibiz Game Keeper, Polarfischer Greg, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Quickrunners Alan, Quickrunners August, Raven vom Tor zur Egge, Ravenfly Arielle, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Searover Cosys Karo, Searover Day Mackay, Searover Easy Sjakk, Searover Kellys Guns N'roses, Searover Ruffling Thea, SE LCH Streamlight's Ace Leon, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Sven (SE21895/2015), Tealshead Bracken, Thorsvi Harris, Viltv�rdarns Galax, Viltv�rdarns Unika Enya, Waterfowler Ace, Wijmas Lilla My, Wijmas Mymlan, Willowridge Five Star, Willowyck Unite, Winning Line's License to Kill, Zetastar Zesty Boy"
Hillus Drake,SE J(J)CH Hillus Drake,"7,5","Brufinn Keep Retrieving Doc, Frankie's Rolle, Huntrets Gott Mos, Huntrets Scilla, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Easy Sjakk, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy"
Mandylike's Nacre,Mandylike's Nacre,"6,5","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
Blackthorn Capella,Blackthorn Capella,"5,5","Hillraisins Black Bertha, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
Craighorn Oak,GB FTCh Craighorn Oak,"5,25","Brufinn Keep Retrieving Doc, Cosmic Cover's Mill's Jaywalker, Dimh�jdens Jack Af Barney, Frankie's Rolle, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Easy Sjakk, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy"
Broadlaw Eva,FTCh Broadlaw Eva,"5,25","Brufinn Keep Retrieving Doc, Dimh�jdens Jack Af Barney, Frankie's Rolle, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Meadowlark Black Kite, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Easy Sjakk, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy"
Oliver od Himalajskeho cedru,Oliver od Himalajskeho cedru Int./DRC-/Nl./LCD-/VDH-/Slo.CH.,5,"Donna of Anny's Labs, Dumbledore of Anny's Labs, Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty"
Annual's Name of the Game,Annual's Name of the Game,5,"Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Nothing Matters vom Auerswalder Teich"
