ZBNr,ZBNr_norm,Name,Rasse,Wurfdatum,Geschlecht,HD_Grad,ED_rechts,ED_links,AnzNachkommen,EBV,Confidenz,Verlässlichkeit,ED_ZWS,prcd-PRA,HNPK,SD2,CNM,EIC,ZS,STGD_Status,vater_name,vater_zbnr,vater_zbnr_norm,mutter_name,mutter_zbnr,mutter_zbnr_norm,Vater,Mutter,geburtsjahr,pedigree_status,father_found,mother_found,source,created_at,updated_at,user_notes
USER-000001,USER-000001,Runi aus dem emsland,Labrador-Retriever,,R,A2,frei,frei,,,,,,,,,,,,,Altiquin Cayanne,DKK 06445/2020,DKK 06445/2020,Broadlaw Eva,KCSB 4387CK,KCSB 4387CK,Altiquin Cayanne,Broadlaw Eva,,ok,True,True,user,2026-06-08T09:41:45,2026-06-08T09:41:45,
USER-000002,USER-000002,Hedenhampark Ace,Labrador-Retriever,2022,R,,,,,,,,,,,,,,,,Buccleuch Warrick,USER-000003,USER-000003,Rockenhart Matilda of Hedenhampark,USER-000004,USER-000004,Buccleuch Warrick,Rockenhart Matilda of Hedenhampark,2022,ok,True,True,user_import,2026-06-08T11:35:25,2026-06-08T11:35:25,Import aus Text-Ahnentafel
USER-000003,USER-000003,Buccleuch Warrick,Labrador-Retriever,2012,R,Unknown: 4/4,Unknown: 0,,,,,,,,,,,,,,Waterford Featherman,KCSB 3399CT,KCSB 3399CT,Buccleuch Unity,KC AL01836603,KC AL01836603,Waterford Featherman,Buccleuch Unity,2012,ok,True,True,user_import,2026-06-08T11:35:25,2026-06-08T11:35:25,Import aus Text-Ahnentafel
USER-000004,USER-000004,Rockenhart Matilda of Hedenhampark,Labrador-Retriever,2018,H,,,,,,,,,,,,,,,,Drumgoose Fidelor,USER-000005,USER-000005,Hazelwood Snowfall Of Rockenhart,USER-000006,USER-000006,Drumgoose Fidelor,Hazelwood Snowfall Of Rockenhart,2018,ok,True,True,user_import,2026-06-08T11:35:25,2026-06-08T11:35:25,Import aus Text-Ahnentafel
USER-000005,USER-000005,Drumgoose Fidelor,Labrador-Retriever,2013,R,BVA/KC: 7/8,BVA/KC: 0,,,,,,,,,,,,,,Astraglen Fergie,KCSB 3915CU,KCSB 3915CU,The Newcam Boss,KCSB 2684CX,KCSB 2684CX,Astraglen Fergie,The Newcam Boss,2013,ok,True,True,user_import,2026-06-08T11:35:25,2026-06-08T11:35:25,Import aus Text-Ahnentafel
USER-000006,USER-000006,Hazelwood Snowfall Of Rockenhart,Labrador-Retriever,2013,H,,,,,,,,,,,,,,,,Rockenhart Discovery,USER-000007,USER-000007,Yellowsand Princess,USER-000008,USER-000008,Rockenhart Discovery,Yellowsand Princess,2013,ok,True,True,user_import,2026-06-08T11:35:25,2026-06-08T11:35:25,Import aus Text-Ahnentafel
USER-000007,USER-000007,Rockenhart Discovery,Labrador-Retriever,2004,R,,,,,,,,,,,,,,,,Carraigairt Adam of Glenloch,KCSB 3745CJ,KCSB 3745CJ,Sallyfort Hazel,IKC U69391,IKC U69391,Carraigairt Adam of Glenloch,Sallyfort Hazel,2004,ok,True,True,user_import,2026-06-08T11:35:25,2026-06-08T11:35:25,Import aus Text-Ahnentafel
USER-000008,USER-000008,Yellowsand Princess,Labrador-Retriever,,H,,,,,,,,,,,,,,,,King Jack,USER-000010,USER-000010,Crowbane Star,USER-000011,USER-000011,King Jack,Crowbane Star,,ok,True,True,user_import,2026-06-08T11:35:25,2026-06-08T11:35:25,Import aus Text-Ahnentafel
USER-000010,USER-000010,King Jack,Labrador-Retriever,1998,R,BVA/KC: 4/6,,,,,,,,,,,,,,,,,,,,,,,1998,ok,False,False,user_import,2026-06-08T11:35:25,2026-06-08T11:35:25,Import aus Text-Ahnentafel
USER-000011,USER-000011,Crowbane Star,Labrador-Retriever,2004,H,,,,,,,,,,,,,,,,,,,,,,,,2004,ok,False,False,user_import,2026-06-08T11:35:25,2026-06-08T11:35:25,Import aus Text-Ahnentafel
